2,12.10821,-2.79255,0.02002,0.02053
3,12.4356,-2.56458,-0.06903,0.02787
5,12.51872,-2.17764,-0.19805,0.03849
10,12.49556,-1.67116,-0.34901,0.05017
25,12.92209,-1.11084,-0.55019,0.06666
50,13.2955,-0.70432,-0.70152,0.07933
